Attraction,Opening Year,Disneyland Resort,Walt Disney World Resort,Disneyland Paris,Tokyo Disney Resort,Hong Kong Disneyland Resort,Shanghai Disney Resort,Disneyland Resort Abu Dhabi,Disneyland,Disney California Adventure,Magic Kingdom,Epcot,Disney's Hollywood Studios,Disney's Animal Kingdom,Disneyland Park (Paris),Walt Disney Studios Park,Tokyo Disneyland,Tokyo DisneySea,Hong Kong Disneyland,Shanghai Disneyland,Disneyland Abu Dhabi
Adventure Isle,1992,,,,,,,Adventureland (1992–present),,,,,,
Adventure Thru Inner Space,1967,Tomorrowland (1967–1985),,,,,,,,,,,,
Adventureland Treehouse,2023,Adventureland (2023),,,,,,,,,,,,
Aladdin's Enchanted Passage,1993,,,,,,,Adventureland (1993–present),,,,,,
Aladdin's Oasis Dinner Show,1993,Adventureland (1993–1996),,,,,,,,,,,,
Aladdin's Royal Caravan,1992,(1993–1994),,,,(1992–1995),,(1993–1994),,,,,,
Alice & the Queen of Hearts: Back to Wonderland,2024,,,,,,,,Production Courtyard (2024–present),,,,,
Alice in Wonderland,1958,Fantasyland (1958–present),,,,,,,,,,,,
Alice's Curious Labyrinth,1992,,,,,,,Fantasyland (1992–present),,,,,Fantasyland (as Alice In Wonderland Maze)  (2016–present),
Alien Swirling Saucers,2018,,,,,Toy Story Land (2018–present),,,,,,,,
Aluminum Hall of Fame,1955,Tomorrowland (1955–1965),,,,,,,,,,,,
America on Parade,1975,Main Street U.S.A. (1975–1977),,Main Street USA (1975–1977),,,,,,,,,,
America Sings,1974,Tomorrowland (1974–1988),,,,,,,,,,,,
America the Beautiful(Circle-Vision 360°film),1967,Tomorrowland (1967–1974),,,,,,,,,,,,
American Adventure The,1982,,,,World Showcase (1982–present),,,,,,,,,
American Idol Experience The,2009,,,,,Echo Lake (2009–2014),,,,,,,,
American Space Experience The,1998,Tomorrowland (1998–2003),,,,,,,,,,,,
Animagique,2002,,,,,,,,Toon Studio (2002–2016),,,,,
Animation Academy,2002,,Hollywood Land (2007–present),,World Discovery,Animation Courtyard (2004–2015),Animation Experience; Rafiki's Planet Watch (2019–present),,Art of Disney Animation; Animation Courtyard (2002–2025)World Premiere Plaza (Opening in Spring 2025),,,Main Street U.S.A. (2007–present),Marvel Comic Academy; Gardens of Imagination (2016–present),
Ant-Man and The Wasp: Nano Battle!,2019,,,,,,,,,,,Tomorrowland (2019–present) Stark Expo (future),,
Aquatopia,2001,,,,,,,,,,Port Discovery (2001–present),,,
Ariel's Grotto aka Ariel's Greeting Grotto,1996,Fantasyland (1996–2008),Paradise Pier (2001–2018),Fantasyland (1996–2010 2012–present),,,,,,,Mermaid Lagoon (as Ariel's Greeting Grotto) (2005–2020),,,
Ariel's Playground,2001,,,,,,,,,,Mermaid Lagoon (2001–present),,,
Armageddon – Les Effets Speciaux,2002,,,,,,,,Backlot (2002–2020),,,,,
Art of Animation,2008,,See "Disney Animation",,,See "Magic of Disney Animation The",,,See "Art of Disney Animation",,,Main Street USA (2008–present),,
Art of Animation The(1960s exhibit),1960,Tomorrowland (1960–1966),,,,,,,,,,,,
Art of Disney Animation,2002,,See "Disney Animation",,,See "Magic of Disney Animation The",,,Toon Studio (2002–2019),,,See "Art of Animation",,
Astro Orbiter aka Astro Jets Astro Orbitor Orbitron Rocket Jets Star Jets Tomorrowland Jets,1956,Tomorrowland (as Astro Jets Tomorrowland Jets Rocket Jets or Astro Orbitor) (1956–present),,Tomorrowland (as Star Jets or Astro Orbiter) (1974–present),,,,Discoveryland (as Orbitron) (1992–present),,Tomorrowland (as Star Jets) (1983–2017),,Tomorrowland (as Orbitron) (2005–present),,
